SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,Neighborhood_Suburb,Neighborhood_Urban,Neighborhood_Rural,Age,SquareFeet_Bedrooms,Log_Price
2126,4,1,1969,215355.28361820136,False,False,True,55,8504,12.28004906868764
2459,3,2,1980,195014.22162584803,False,False,True,44,7377,12.180832894119124
1860,2,1,1970,306891.0120763329,True,False,False,54,3720,12.634251212495665
2294,2,1,1996,206786.78715332696,False,True,False,28,4588,12.239448363553983
2130,5,2,2001,272436.239065061,True,False,False,23,10650,12.515163551201207
2095,2,3,2020,198208.80390657103,True,False,False,4,4190,12.197081364369978
2724,2,1,1993,343429.3191099182,True,False,False,31,5448,12.746739514491365
2044,4,3,1957,184992.321268412,False,False,True,67,8176,12.128075002156969
2638,4,3,1959,377998.58815204125,False,True,False,65,10552,12.842648385056266
1121,5,2,2004,95961.92601406392,False,True,False,20,5605,11.471717208506933
1466,5,3,1951,191113.7686788604,True,False,False,73,7330,12.160629409706177
2238,3,3,1987,253358.64500167352,True,False,False,37,6714,12.442565280049847
1330,2,2,1992,132172.3926169813,True,False,False,32,2660,11.79186992000819
2482,4,3,1989,231157.02767588635,True,False,False,35,9928,12.3508568581055
1087,4,1,1976,118393.82316264397,False,True,False,48,4348,11.681780277187672
2396,2,2,1993,267377.3996858498,True,False,False,31,4792,12.496420161351462
2123,5,2,1956,190773.14856300573,False,False,True,68,10615,12.158845539105053
1871,4,2,1977,172989.80490101498,True,False,False,47,7484,12.060993721206174
2687,5,1,1979,239222.6677969504,False,True,False,45,13435,12.385154241803242
1130,4,3,1962,143050.20178240183,False,False,True,62,4520,11.870957899578247
2685,4,3,1999,405523.82831733953,False,True,False,25,10740,12.91293737955922
2332,3,3,1978,263954.1540627713,False,False,True,46,6996,12.483534496724394
1769,4,1,1963,148310.62016790514,True,False,False,61,7076,11.907070880875013
1343,2,3,2013,151733.92248999208,False,False,True,11,2686,11.929890346423624
2515,2,3,2013,307961.1073823952,False,True,False,11,5030,12.637732026407912
2437,2,1,2004,276162.86180465267,False,False,True,20,4874,12.528749670718637
1805,5,1,2002,243985.2054715822,False,False,True,22,9025,12.404866967724645
1385,4,3,1996,88030.54185271678,False,False,True,28,5540,11.385450459384113
2215,5,1,1952,282908.98169371625,False,True,False,72,11075,12.5528840401374
1955,3,1,2014,240976.55176671065,False,False,True,10,5865,12.392459061938194
1276,4,1,1965,104747.33458904953,False,False,True,59,5104,11.559315938746773
2184,2,2,1959,347207.38956128363,True,False,False,65,4368,12.757680424959359
1459,3,2,2006,77493.9314389322,False,False,True,18,4377,11.257967812414742
2337,3,3,2008,331851.0816694101,True,False,False,16,7011,12.712444611477133
1021,4,3,2013,110408.67080143408,False,False,True,11,4084,11.611953006827742
1252,2,1,1993,127932.75677961828,False,True,False,31,2504,11.759267883780156
1747,5,3,1982,228683.2269961876,False,False,True,42,8735,12.340097409535339
1856,4,2,1959,124711.70785494654,False,False,True,65,7424,11.733768033893293
2584,2,3,2001,415850.77083678055,True,False,False,23,5168,12.938084155642414
1474,3,3,1959,184819.96119001516,False,True,False,65,4422,12.127142858110334
2082,4,2,1966,164855.98777549056,True,False,False,58,8328,12.012833636291163
1510,3,2,2002,156928.01471681413,True,False,False,22,4530,11.963548846524649
2705,2,1,1971,282457.8613741379,False,True,False,53,5410,12.551288195510129
2499,5,1,2021,287591.6728221959,False,True,False,3,12495,12.569300427530202
1699,5,1,1960,156313.5941951282,False,False,True,64,8495,11.959625885020055
1975,3,3,2016,279764.3710402287,True,False,False,8,5925,12.54170657029556
2806,3,3,1962,366494.48060208897,True,False,False,62,8418,12.81174146899704
1189,3,3,2007,244539.2816890332,False,True,False,17,3567,12.407135325611451
1957,4,2,1994,239299.9944944986,False,False,True,30,7828,12.385477429736131
1686,2,3,1994,249148.34468610145,False,True,False,30,3372,12.425807773507824
1957,3,2,1992,304197.5798399542,False,False,True,32,5871,12.62543599028872
1562,3,3,2013,89378.55062087673,False,False,True,11,4686,11.400647194737912
2899,3,3,1988,427295.4046033164,False,False,True,36,8697,12.965233207375599
2590,5,2,1957,328501.8015463275,True,False,False,67,12950,12.702300645169759
2267,3,2,1989,215867.4189845816,False,True,False,35,6801,12.28242432967836
1831,2,2,2000,190058.8928999779,False,False,True,24,3662,12.15509452725877
2528,5,1,1969,259751.15444635935,False,True,False,55,12640,12.467483203234524
2154,2,1,2015,166810.3886512713,False,False,True,9,4308,12.024619043861795
2508,5,3,2007,352932.1624639027,True,False,False,17,12540,12.774033976526045
2842,5,3,2014,422042.91851435706,False,True,False,10,14210,12.952864659911905
1646,4,3,1994,91423.61964633202,True,False,False,30,6584,11.423270082728173
1020,5,1,1983,220053.8603574218,False,False,True,41,5100,12.301632159509158
1840,5,3,1961,216148.20845399628,True,False,False,63,9200,12.283724228067312
1166,2,2,1972,161587.15372788318,True,False,False,52,2332,11.992806116242768
2297,2,2,2017,194967.9094711132,False,True,False,7,4594,12.180595386224521
1387,3,1,2002,152828.720291152,False,False,True,22,4161,11.937079641324251
1600,4,2,2002,256725.9809436184,False,False,True,22,6400,12.455768468245191
1315,5,2,1989,98039.30310069738,True,False,False,35,6575,11.49313392923965
1013,4,3,2002,164858.18694892063,False,True,False,22,4052,12.012846976088229
1241,3,2,1985,199373.18209909197,False,True,False,39,3723,12.202938650188528
1776,4,2,2014,181245.4467436535,False,True,False,10,7104,12.10761296835181
2369,5,1,1963,209700.7184829428,True,False,False,61,11845,12.253441411815626
1564,2,2,1983,163053.3920501942,False,False,True,41,3128,12.00183911768506
1897,4,2,1975,304004.68986597785,False,False,True,49,7588,12.624801696877604
2363,5,3,2004,308830.9396512381,False,True,False,20,11815,12.640552523297165
1091,3,3,2012,194294.00184175,False,True,False,12,3273,12.177132911111608
2390,5,3,2019,172777.3198326151,False,True,False,5,11950,12.05976466354921
1955,4,1,1995,197656.07026552537,True,False,False,29,7820,12.194288839729492
2478,5,3,1986,273365.49912049377,False,True,False,38,12390,12.518568661457145
2451,5,2,1972,216047.21814963987,False,False,True,52,12255,12.283256893927966
1508,4,1,1965,149586.15312931265,False,True,False,59,6032,11.915634466031001
1775,4,2,1981,214171.08224172727,True,False,False,43,7100,12.2745350934955
2966,3,2,1956,277419.0001600792,False,False,True,68,8898,12.53328788289431
1034,5,3,1993,117295.37520060757,False,False,True,31,5170,11.672459132208488
1205,2,1,1996,180760.867453112,False,True,False,28,2410,12.10493579459108
2104,4,1,1954,202715.1601476104,True,False,False,70,8416,12.219562053720136
2955,5,3,2012,378403.5710107572,False,False,True,12,14775,12.843719195925052
2585,2,1,1961,257776.0924243205,True,False,False,63,5170,12.459850507603981
2895,2,2,2021,266046.87792908505,True,False,False,3,5790,12.491431563781786
2411,5,1,1958,337645.67623531295,False,False,True,66,12055,12.729755291137902
2025,5,2,1993,240145.9702539115,False,False,True,31,10125,12.389006390956387
2021,5,1,1971,92641.62211021264,True,False,False,53,10105,11.43650459670476
2413,2,1,1995,152037.88283583574,False,True,False,29,4826,11.93189157524559
1565,5,3,1957,149848.61640852437,False,False,True,67,7825,11.917387512905192
2129,4,3,2005,220384.43445019663,False,True,False,19,8516,12.303133267190477
2795,2,1,1977,305658.56385268376,False,False,True,47,5590,12.630227225177334
2845,4,2,1996,318297.25657762005,False,True,False,28,11380,12.670744135962128
2500,4,3,1984,230749.27633657065,False,False,True,40,10000,12.34909134992265
1702,5,3,1970,201925.84088885225,False,True,False,54,8510,12.215660736965003
1401,4,3,1982,149576.68114338422,True,False,False,42,5604,11.915571143174526
1729,5,1,2019,171877.06629783398,False,False,True,5,8645,12.054540587522144
2579,2,2,1997,245276.73391788083,False,True,False,27,5158,12.41014645530677
1161,4,2,2003,288571.1271841178,True,False,False,21,4644,12.572700341254205
1201,5,1,1951,87804.5603712397,False,True,False,73,6005,11.382880107586512
2981,3,2,1982,267127.0106286388,False,False,True,42,8943,12.495483263044184
1995,5,3,1965,221217.76933158597,True,False,False,59,9975,12.30690739734334
1269,3,2,1999,218784.63298580731,True,False,False,25,3807,12.295847684603535
2886,5,3,1969,315607.02376495936,False,False,True,55,14430,12.66225629147402
1815,3,3,2016,217967.92847377845,False,True,False,8,5445,12.292107801676073
2294,4,1,1994,353343.63401135267,False,False,True,30,9176,12.77519915995969
1455,3,3,1984,187002.96390785457,False,True,False,40,4365,12.138885092980269
2485,4,2,1978,222855.0832963985,False,False,True,46,9940,12.314281475719866
2750,4,2,1994,366548.8223262025,False,False,True,30,11000,12.811889731932483
2275,5,2,1964,259473.2793370484,False,False,True,60,11375,12.466412860440862
2016,4,2,1952,212440.4223945249,False,True,False,72,8064,12.266421570025711
2725,2,2,2018,237066.6856356926,False,True,False,6,5450,12.376100972742783
1295,3,3,1983,158357.6480582802,False,True,False,41,3885,11.972617664042177
2748,5,1,2020,255619.99775314287,True,False,False,4,13740,12.451451148945214
1719,4,1,1953,190659.43496867083,True,False,False,71,6876,12.158249297428952
2772,3,2,1968,284985.43569363654,False,True,False,56,8316,12.560196864060739
1337,3,3,1970,214741.228522745,False,True,False,54,4011,12.277193650706211
1878,2,1,1964,128693.02879404814,True,False,False,60,3756,11.765192996191233
2076,3,2,1966,184051.98271688656,False,False,True,58,6228,12.122978944689905
1791,5,3,2003,242865.26019000952,False,False,True,21,8955,12.400266201225312
2945,5,1,1986,295356.77549321775,False,True,False,38,14725,12.5959426987583
1216,4,3,2003,107868.93208831896,False,False,True,21,4864,11.5886814477996
1763,4,2,1971,207380.13609180792,False,True,False,53,7052,12.242313616406685
1187,5,3,1957,132828.81413178446,True,False,False,67,5935,11.79682399483162
1379,3,1,1960,84493.6913127725,False,True,False,64,4137,11.344443986670793
1492,3,1,2019,53360.86540604882,True,False,False,5,4476,10.88485163886243
2064,2,3,1958,296199.3496255564,False,False,True,66,4128,12.598791361185011
2180,4,1,1951,273924.557395998,False,True,False,73,8720,12.52061166012047
1014,3,3,1981,204340.7258965054,False,True,False,43,3042,12.227548998309732
2836,3,3,2000,228582.09695971967,False,True,False,24,8508,12.339655086050504
